************** Maiores sequências **************
3 números seguidos: 163 jogos (11,82%)
4 números seguidos: 419 jogos (30,38%)
7 números seguidos: 100 jogos (7,25%)
6 números seguidos: 223 jogos (16,17%)
5 números seguidos: 393 jogos (28,50%)
9 números seguidos: 13 jogos (0,94%)
8 números seguidos: 43 jogos (3,12%)
10 números seguidos: 15 jogos (1,09%)
2 números seguidos: 6 jogos (0,44%)
11 números seguidos: 2 jogos (0,15%)
14 números seguidos: 1 jogos (0,07%)
12 números seguidos: 1 jogos (0,07%)



************** Estilo sequências **************
2B 2B 3B 2B 1B 1B 1B 3B: 1 jogos (0,07%)
1B 4B 1B 3B 2B 2B 2B: 2 jogos (0,15%)
1B 1B 7B 1B 2B 1B 2B: 1 jogos (0,07%)
2B 2B 1B 1B 2B 4B 3B: 1 jogos (0,07%)
2B 1B 2B 3B 2B 2B 3B: 1 jogos (0,07%)
2B 4B 1B 1B 3B 1B 1B 1B 1B: 1 jogos (0,07%)
1B 1B 2B 1B 1B 3B 2B 3B 1B: 1 jogos (0,07%)
1B 2B 3B 1B 6B 1B 1B: 1 jogos (0,07%)
3B 3B 1B 3B 3B 2B: 1 jogos (0,07%)
5B 5B 1B 2B 2B: 1 jogos (0,07%)
1B 7B 1B 2B 4B: 2 jogos (0,15%)
2B 2B 6B 1B 2B 2B: 1 jogos (0,07%)
1B 7B 5B 1B 1B: 1 jogos (0,07%)
2B 3B 1B 3B 4B 1B 1B: 2 jogos (0,15%)
2B 1B 1B 1B 1B 1B 2B 2B 1B 3B: 1 jogos (0,07%)
1B 4B 1B 2B 1B 1B 1B 1B 3B: 1 jogos (0,07%)
3B 3B 1B 2B 6B: 1 jogos (0,07%)
1B 3B 2B 2B 4B 3B: 1 jogos (0,07%)
1B 4B 2B 5B 1B 2B: 1 jogos (0,07%)
2B 5B 1B 5B 2B: 1 jogos (0,07%)
2B 2B 1B 1B 1B 1B 3B 4B: 1 jogos (0,07%)
7B 2B 4B 1B 1B: 1 jogos (0,07%)
1B 4B 1B 3B 1B 5B: 1 jogos (0,07%)
3B 1B 1B 2B 1B 1B 3B 3B: 1 jogos (0,07%)
7B 1B 2B 1B 1B 3B: 1 jogos (0,07%)
1B 5B 2B 2B 5B: 1 jogos (0,07%)
1B 1B 1B 6B 1B 3B 2B: 1 jogos (0,07%)
1B 1B 1B 6B 6B: 1 jogos (0,07%)
1B 3B 2B 2B 2B 4B 1B: 1 jogos (0,07%)
4B 3B 1B 1B 1B 5B: 1 jogos (0,07%)
4B 1B 3B 1B 4B 2B: 1 jogos (0,07%)
2B 1B 2B 3B 4B 1B 2B: 1 jogos (0,07%)
2B 1B 2B 3B 1B 1B 3B 2B: 1 jogos (0,07%)
2B 1B 5B 2B 4B 1B: 1 jogos (0,07%)
1B 3B 4B 2B 1B 3B 1B: 2 jogos (0,15%)
1B 2B 2B 2B 1B 1B 6B: 1 jogos (0,07%)
1B 3B 4B 1B 1B 5B: 1 jogos (0,07%)
3B 5B 4B 1B 2B: 1 jogos (0,07%)
1B 3B 1B 3B 3B 4B: 1 jogos (0,07%)
2B 1B 2B 1B 3B 2B 3B 1B: 1 jogos (0,07%)
3B 1B 2B 7B 1B 1B: 1 jogos (0,07%)
1B 4B 1B 2B 2B 1B 2B 2B: 1 jogos (0,07%)
1B 1B 5B 1B 4B 3B: 1 jogos (0,07%)
4B 5B 2B 1B 3B: 2 jogos (0,15%)
3B 1B 1B 1B 1B 4B 1B 3B: 1 jogos (0,07%)
2B 3B 1B 2B 1B 2B 1B 3B: 1 jogos (0,07%)
6B 1B 2B 1B 1B 1B 1B 1B 1B: 1 jogos (0,07%)
1B 3B 1B 1B 9B: 1 jogos (0,07%)
1B 3B 1B 1B 1B 2B 6B: 1 jogos (0,07%)
3B 2B 5B 3B 1B 1B: 1 jogos (0,07%)
1B 1B 4B 1B 2B 2B 4B: 1 jogos (0,07%)
2B 1B 2B 3B 2B 5B: 1 jogos (0,07%)
3B 2B 1B 2B 1B 4B 2B: 1 jogos (0,07%)
1B 6B 1B 1B 1B 1B 3B 1B: 1 jogos (0,07%)
8B 2B 2B 2B 1B: 1 jogos (0,07%)
2B 1B 1B 6B 2B 3B: 3 jogos (0,22%)
4B 3B 2B 1B 4B 1B: 2 jogos (0,15%)
4B 10B 1B: 1 jogos (0,07%)
1B 1B 4B 2B 3B 2B 1B 1B: 1 jogos (0,07%)
5B 1B 1B 4B 4B: 1 jogos (0,07%)
1B 2B 1B 6B 2B 2B 1B: 1 jogos (0,07%)
1B 1B 3B 1B 6B 1B 2B: 1 jogos (0,07%)
1B 6B 2B 4B 2B: 1 jogos (0,07%)
3B 5B 2B 2B 1B 1B 1B: 1 jogos (0,07%)
2B 1B 1B 1B 9B 1B: 1 jogos (0,07%)
2B 1B 1B 2B 4B 5B: 1 jogos (0,07%)
1B 7B 2B 5B: 2 jogos (0,15%)
3B 6B 1B 2B 2B 1B: 3 jogos (0,22%)
1B 1B 5B 1B 5B 2B: 1 jogos (0,07%)
3B 2B 2B 1B 3B 2B 2B: 1 jogos (0,07%)
1B 1B 2B 2B 1B 4B 1B 3B: 1 jogos (0,07%)
2B 1B 2B 3B 4B 3B: 1 jogos (0,07%)
2B 1B 1B 2B 7B 1B 1B: 1 jogos (0,07%)
6B 1B 1B 1B 2B 1B 2B 1B: 1 jogos (0,07%)
1B 6B 2B 1B 3B 1B 1B: 1 jogos (0,07%)
1B 1B 1B 3B 2B 3B 1B 1B 1B 1B: 1 jogos (0,07%)
3B 1B 2B 1B 1B 2B 3B 2B: 1 jogos (0,07%)
3B 4B 2B 4B 1B 1B: 1 jogos (0,07%)
3B 1B 1B 1B 2B 2B 1B 4B: 1 jogos (0,07%)
5B 1B 2B 2B 2B 1B 1B 1B: 1 jogos (0,07%)
7B 2B 1B 3B 1B 1B: 1 jogos (0,07%)
1B 3B 2B 2B 1B 4B 2B: 1 jogos (0,07%)
3B 2B 1B 5B 1B 3B: 1 jogos (0,07%)
2B 1B 1B 1B 1B 3B 2B 4B: 1 jogos (0,07%)
2B 1B 3B 1B 4B 1B 3B: 1 jogos (0,07%)
1B 3B 2B 3B 3B 3B: 1 jogos (0,07%)
3B 1B 4B 1B 1B 1B 1B 1B 2B: 1 jogos (0,07%)
2B 2B 5B 1B 3B 2B: 1 jogos (0,07%)
